,avg,fix,lefteye,raw,righteye,state,time,timestamp,xRaw_righteye,yRaw_righteye,xRaw_lefteye,yRaw_lefteye,av_x_coord,av_y_coord,Subject,UniqueID,Group,Experiment,Trial,Run
1259,"{'x': 1017.123, 'y': 527.7632}",True,"{'avg': {'x': 1000.6365, 'y': 539.4779}, 'pcenter': {'x': 0.4628, 'y': 0.3311}, 'psize': 36.0907, 'raw': {'x': 997.8016, 'y': 549.4714}}","{'x': 1017.9856, 'y': 548.2303}","{'avg': {'x': 1036.7491, 'y': 546.8926}, 'pcenter': {'x': 0.6205, 'y': 0.3068}, 'psize': 33.8612, 'raw': {'x': 1038.1697, 'y': 546.9891}}",7,407994072,1579882217.176,1038.1697,546.9891,997.8016,549.4714,1017.98565,548.2302500000001,25,95,2,/variabl,0.0,0
1260,"{'x': 1017.2523, 'y': 529.2733}",True,"{'avg': {'x': 1000.5872, 'y': 541.3481}, 'pcenter': {'x': 0.4629, 'y': 0.3311}, 'psize': 36.219, 'raw': {'x': 1001.9004, 'y': 544.1851}}","{'x': 1019.872, 'y': 543.4553}","{'avg': {'x': 1037.0725, 'y': 547.8263}, 'pcenter': {'x': 0.6205, 'y': 0.3068}, 'psize': 33.7987, 'raw': {'x': 1037.8436, 'y': 542.7255}}",7,407994106,1579882217.21,1037.8436,542.7255,1001.9004,544.1851,1019.872,543.4553000000001,25,95,2,/variabl,0.0,0
1261,"{'x': 1017.498, 'y': 530.8786}",True,"{'avg': {'x': 1000.5836, 'y': 542.4968}, 'pcenter': {'x': 0.4629, 'y': 0.3312}, 'psize': 36.2025, 'raw': {'x': 1002.6158, 'y': 537.6213}}","{'x': 1020.544, 'y': 545.2537}","{'avg': {'x': 1037.4056, 'y': 549.2729}, 'pcenter': {'x': 0.6206, 'y': 0.307}, 'psize': 33.9318, 'raw': {'x': 1038.4722, 'y': 552.8861}}",7,407994141,1579882217.245,1038.4722,552.8861,1002.6158,537.6213,1020.544,545.2537,25,95,2,/variabl,0.0,0
1262,"{'x': 1016.5394, 'y': 532.2846}",True,"{'avg': {'x': 1000.4845, 'y': 543.3701}, 'pcenter': {'x': 0.4629, 'y': 0.3312}, 'psize': 36.2434, 'raw': {'x': 998.5061, 'y': 541.4797}}","{'x': 1021.5535, 'y': 538.9137}","{'avg': {'x': 1038.1987, 'y': 549.0359}, 'pcenter': {'x': 0.6206, 'y': 0.3069}, 'psize': 33.9355, 'raw': {'x': 1044.6008, 'y': 536.3477}}",7,407994186,1579882217.29,1044.6008,536.3477,998.5061,541.4797,1021.5534499999999,538.9137000000001,25,95,2,/variabl,0.0,0
1263,"{'x': 1018.0013, 'y': 533.9809}",True,"{'avg': {'x': 1000.0065, 'y': 542.6898}, 'pcenter': {'x': 0.4628, 'y': 0.3311}, 'psize': 36.2248, 'raw': {'x': 993.3406, 'y': 534.2484}}","{'x': 1017.6099, 'y': 541.4817}","{'avg': {'x': 1038.7917, 'y': 549.1213}, 'pcenter': {'x': 0.6206, 'y': 0.3069}, 'psize': 34.051, 'raw': {'x': 1041.8792, 'y': 548.7151}}",7,407994220,1579882217.324,1041.8792,548.7151,993.3406,534.2484,1017.6099,541.4817499999999,25,95,2,/variabl,0.0,0
1264,"{'x': 1017.9915, 'y': 535.3292}",True,"{'avg': {'x': 999.8875, 'y': 542.4099}, 'pcenter': {'x': 0.4629, 'y': 0.3312}, 'psize': 36.2989, 'raw': {'x': 999.2659, 'y': 540.6037}}","{'x': 1019.9725, 'y': 541.4116}","{'avg': {'x': 1038.9626, 'y': 548.6204}, 'pcenter': {'x': 0.6206, 'y': 0.3069}, 'psize': 34.1231, 'raw': {'x': 1040.6792, 'y': 542.2194}}",7,407994254,1579882217.358,1040.6792,542.2194,999.2659,540.6037,1019.97255,541.41155,25,95,2,/variabl,0.0,0
1265,"{'x': 1017.963, 'y': 536.5776}",True,"{'avg': {'x': 999.8011, 'y': 542.0026}, 'pcenter': {'x': 0.463, 'y': 0.3311}, 'psize': 36.3674, 'raw': {'x': 1001.809, 'y': 538.8897}}","{'x': 1019.0886, 'y': 548.214}","{'avg': {'x': 1038.77, 'y': 549.2371}, 'pcenter': {'x': 0.6206, 'y': 0.307}, 'psize': 34.3235, 'raw': {'x': 1036.3682, 'y': 557.5383}}",7,407994298,1579882217.402,1036.3682,557.5383,1001.809,538.8897,1019.0885999999999,548.2139999999999,25,95,2,/variabl,0.0,0
1266,"{'x': 1017.9675, 'y': 537.7363}",True,"{'avg': {'x': 999.6561, 'y': 542.1962}, 'pcenter': {'x': 0.4629, 'y': 0.3311}, 'psize': 36.6629, 'raw': {'x': 997.9379, 'y': 546.0146}}","{'x': 1020.916, 'y': 545.4976}","{'avg': {'x': 1039.2432, 'y': 548.992}, 'pcenter': {'x': 0.6206, 'y': 0.3068}, 'psize': 34.2831, 'raw': {'x': 1043.894, 'y': 544.9807}}",7,407994332,1579882217.436,1043.894,544.9807,997.9379,546.0146,1020.9159500000001,545.49765,25,95,2,/variabl,0.0,0
1267,"{'x': 1016.8842, 'y': 538.6512}",True,"{'avg': {'x': 999.6758, 'y': 542.582}, 'pcenter': {'x': 0.463, 'y': 0.3311}, 'psize': 36.3826, 'raw': {'x': 999.6156, 'y': 546.5724}}","{'x': 1025.0359, 'y': 550.2922}","{'avg': {'x': 1040.0259, 'y': 549.1398}, 'pcenter': {'x': 0.6206, 'y': 0.307}, 'psize': 34.3189, 'raw': {'x': 1050.4561, 'y': 554.012}}",7,407994366,1579882217.47,1050.4561,554.012,999.6156,546.5724,1025.03585,550.2922,25,95,2,/variabl,0.0,0
1268,"{'x': 1016.887, 'y': 539.6419}",True,"{'avg': {'x': 999.9918, 'y': 542.2849}, 'pcenter': {'x': 0.463, 'y': 0.3311}, 'psize': 36.2035, 'raw': {'x': 1005.09, 'y': 539.8351}}","{'x': 1024.8125, 'y': 549.549}","{'avg': {'x': 1040.455, 'y': 549.5993}, 'pcenter': {'x': 0.6205, 'y': 0.3071}, 'psize': 34.0859, 'raw': {'x': 1044.535, 'y': 559.2628}}",7,407994411,1579882217.515,1044.535,559.2628,1005.09,539.8351,1024.8125,549.54895,25,95,2,/variabl,0.0,0
