,Subject,Trial Type,Run,Cued Composite,Uncued Composite,Cued Face,Cued Place,Uncued Face,Uncued Place,Memory Image,Category,Cued Side,Cued Category,Attention Response Time (s),Familiarity Reaction Time (s),Familiarity Rating,Attention Level,Cue Validity,Post Invalid Cue,Pre Invalid Cue,Attention Button,Rating History,Stimulus Onset,Stimulus End,Attention Probe
350,27,Presentation,7,00987960627fa_sunbloeoiozwjjsiamp.jpg,00532960627fa_sunaccdtpgenvcbcbcf.jpg,,,,,,,<,Face,33.8256561756134,,,,1.0,,,1,,,,o
351,27,Presentation,7,00158931230fb_sunaavchcbptaerhcfy.jpg,01005960627fa_sunbwyuesflwdpqtgoy.jpg,,,,,,,>,Place,41.081780195236206,,,,0.0,,,1,,,,o
352,27,Presentation,7,00868960307fa_sunajjxttslobudoqbv.jpg,00221940128fa_sunabcfpwlpolnutyju.jpg,,,,,,,<,Face,48.057849168777466,,,,1.0,,,1,,,,o
353,27,Presentation,7,00847940307fa_sunaivdjruhkrfywfed.jpg,00925960627fa_sunapqwnqzxlsfvgsjm.jpg,,,,,,,<,Place,55.001599073410034,,,,1.0,,,1,,,,x
354,27,Presentation,7,00142931230fb_sunaapxkpvrhpjplsok.jpg,00745941205fa_sunaeouogqolxvggaoq.jpg,,,,,,,>,Face,62.25763821601868,,,,0.0,,,1,,,,x
355,27,Presentation,7,00132931230fb_sunaanjcbzdvtvblsdy.jpg,00633940928fa_sunadbhmrgrrpyzglxs.jpg,,,,,,,>,Place,69.31381106376648,,,,1.0,,,3,,,,x
356,27,Presentation,7,00983960627fa_sunbfyvfqiimvdaxlqn.jpg,00705941205fa_sunadtlxenqqxsyjvix.jpg,,,,,,,<,Place,76.28175020217896,,,,1.0,,,1,,,,o
357,27,Presentation,7,00959960627fa_sunavxokzybtomhbmvm.jpg,00564940928fa_sunacmpqqfbsvlzinzl.jpg,,,,,,,<,Face,83.4739191532135,,,,0.0,,,3,,,,x
358,27,Presentation,7,00776941205fa_sunafxokyavhgptyfye.jpg,00185940422fb_sunaawqdbpihmlbwyyn.jpg,,,,,,,>,Place,90.40970706939697,,,,1.0,,,3,,,,o
359,27,Presentation,7,00922960627fa_sunapqkyghktgtosuuk.jpg,00109931230fa_sunaajuzribjrizdshh.jpg,,,,,,,>,Face,97.55362915992737,,,,0.0,,,1,,,,o
