,avg,fix,lefteye,raw,righteye,state,time,timestamp,Run,xRaw_righteye,yRaw_righteye,xRaw_lefteye,yRaw_lefteye,av_x_coord,av_y_coord,Subject,UniqueID,Group,Experiment,Trial,Behavior_Image_Start
27045,"{'x': 1039.1833, 'y': 578.4995}",True,"{'avg': {'x': 1073.3602, 'y': 600.3578}, 'pcenter': {'x': 0.4957, 'y': 0.4467}, 'psize': 31.613, 'raw': {'x': 1068.9728, 'y': 579.3646}}","{'x': 1035.9087, 'y': 560.0121}","{'avg': {'x': 1006.8725, 'y': 546.4477}, 'pcenter': {'x': 0.6467, 'y': 0.4439}, 'psize': 30.9175, 'raw': {'x': 1002.8445, 'y': 540.6595}}",7,548688013,1578949169.293,0,1002.8445,540.6595,1068.9728,579.3646,1035.90865,560.01205,28,106,2,/variabl,0.0,1578949169.2626998
27046,"{'x': 1041.8708, 'y': 580.0839}",True,"{'avg': {'x': 1073.0785, 'y': 600.7715}, 'pcenter': {'x': 0.4957, 'y': 0.4468}, 'psize': 31.3313, 'raw': {'x': 1067.7668, 'y': 606.969}}","{'x': 1030.72, 'y': 569.6199}","{'avg': {'x': 1005.6887, 'y': 545.264}, 'pcenter': {'x': 0.6467, 'y': 0.4438}, 'psize': 31.0494, 'raw': {'x': 993.673, 'y': 532.2709}}",7,548688047,1578949169.327,0,993.673,532.2709,1067.7668,606.969,1030.7199,569.61995,28,106,2,/variabl,0.0,1578949169.2626998
27047,"{'x': 1041.8071, 'y': 579.4732}",True,"{'avg': {'x': 1072.6687, 'y': 600.4681}, 'pcenter': {'x': 0.4957, 'y': 0.4468}, 'psize': 31.333, 'raw': {'x': 1068.4501, 'y': 604.4457}}","{'x': 1033.0223, 'y': 572.5668}","{'avg': {'x': 1004.9167, 'y': 544.728}, 'pcenter': {'x': 0.6466, 'y': 0.4439}, 'psize': 31.013, 'raw': {'x': 997.5946, 'y': 540.6879}}",7,548688091,1578949169.371,0,997.5946,540.6879,1068.4501,604.4457,1033.02235,572.5668000000001,28,106,2,/variabl,0.0,1578949169.2626998
27048,"{'x': 1041.5552, 'y': 578.7172}",True,"{'avg': {'x': 1072.5946, 'y': 600.757}, 'pcenter': {'x': 0.4957, 'y': 0.4468}, 'psize': 31.4229, 'raw': {'x': 1072.7906, 'y': 611.9557}}","{'x': 1040.9167, 'y': 577.1518}","{'avg': {'x': 1004.9004, 'y': 544.1095}, 'pcenter': {'x': 0.6467, 'y': 0.4438}, 'psize': 30.9088, 'raw': {'x': 1009.0429, 'y': 542.3478}}",7,548688124,1578949169.404,0,1009.0429,542.3478,1072.7906,611.9557,1040.91675,577.15175,28,106,2,/variabl,0.0,1578949169.2626998
27049,"{'x': 1041.5809, 'y': 578.1973}",True,"{'avg': {'x': 1072.5148, 'y': 599.3681}, 'pcenter': {'x': 0.4957, 'y': 0.4467}, 'psize': 31.3637, 'raw': {'x': 1075.9506, 'y': 586.7325}}","{'x': 1035.576, 'y': 561.3106}","{'avg': {'x': 1003.7935, 'y': 543.3621}, 'pcenter': {'x': 0.6466, 'y': 0.4438}, 'psize': 31.0491, 'raw': {'x': 995.2015, 'y': 535.8887}}",7,548688158,1578949169.438,0,995.2015,535.8887,1075.9506,586.7325,1035.57605,561.3106,28,106,2,/variabl,0.0,1578949169.2626998
27050,"{'x': 1041.6219, 'y': 577.7399}",True,"{'avg': {'x': 1071.7365, 'y': 599.0055}, 'pcenter': {'x': 0.4956, 'y': 0.4467}, 'psize': 31.3751, 'raw': {'x': 1059.01, 'y': 587.9462}}","{'x': 1032.4393, 'y': 561.0146}","{'avg': {'x': 1003.6116, 'y': 542.7766}, 'pcenter': {'x': 0.6466, 'y': 0.4437}, 'psize': 30.9464, 'raw': {'x': 1005.8686, 'y': 534.083}}",7,548688202,1578949169.482,0,1005.8686,534.083,1059.01,587.9462,1032.4393,561.0146,28,106,2,/variabl,0.0,1578949169.2626998
27051,"{'x': 1042.2047, 'y': 577.7728}",True,"{'avg': {'x': 1072.2166, 'y': 598.9877}, 'pcenter': {'x': 0.4957, 'y': 0.4468}, 'psize': 31.493, 'raw': {'x': 1079.6213, 'y': 598.1818}}","{'x': 1038.2791, 'y': 566.9573}","{'avg': {'x': 1002.7948, 'y': 542.1998}, 'pcenter': {'x': 0.6466, 'y': 0.4438}, 'psize': 30.9968, 'raw': {'x': 996.9369, 'y': 535.7327}}",7,548688237,1578949169.517,0,996.9369,535.7327,1079.6213,598.1818,1038.2791,566.9572499999999,28,106,2,/variabl,0.0,1578949169.2626998
27052,"{'x': 1041.4392, 'y': 576.7466}",True,"{'avg': {'x': 1071.7701, 'y': 598.8615}, 'pcenter': {'x': 0.4956, 'y': 0.4468}, 'psize': 31.2506, 'raw': {'x': 1062.2428, 'y': 598.6602}}","{'x': 1032.9519, 'y': 568.8807}","{'avg': {'x': 1002.5858, 'y': 541.9517}, 'pcenter': {'x': 0.6466, 'y': 0.4438}, 'psize': 30.9332, 'raw': {'x': 1003.661, 'y': 539.1013}}",7,548688271,1578949169.551,0,1003.661,539.1013,1062.2428,598.6602,1032.9519,568.88075,28,106,2,/variabl,0.0,1578949169.2626998
27053,"{'x': 1038.3428, 'y': 573.8026}",True,"{'avg': {'x': 1070.2235, 'y': 597.8818}, 'pcenter': {'x': 0.4956, 'y': 0.4467}, 'psize': 30.8565, 'raw': {'x': 1048.9741, 'y': 588.8767}}","{'x': 1028.5833, 'y': 564.6123}","{'avg': {'x': 1002.8072, 'y': 541.7925}, 'pcenter': {'x': 0.6466, 'y': 0.4438}, 'psize': 30.6533, 'raw': {'x': 1008.1923, 'y': 540.3479}}",7,548688315,1578949169.595,0,1008.1923,540.3479,1048.9741,588.8767,1028.5832,564.6123,28,106,2,/variabl,0.0,1578949169.2626998
27054,"{'x': 1038.213, 'y': 573.3581}",True,"{'avg': {'x': 1069.8298, 'y': 597.7392}, 'pcenter': {'x': 0.4956, 'y': 0.4468}, 'psize': 31.0157, 'raw': {'x': 1065.6702, 'y': 600.0323}}","{'x': 1038.3298, 'y': 570.6688}","{'avg': {'x': 1002.9815, 'y': 541.4114}, 'pcenter': {'x': 0.6466, 'y': 0.4438}, 'psize': 29.969, 'raw': {'x': 1010.9896, 'y': 541.3052}}",7,548688348,1578949169.628,0,1010.9896,541.3052,1065.6702,600.0323,1038.3299,570.66875,28,106,2,/variabl,0.0,1578949169.2626998
