,Subject,Trial Type,Run,Cued Composite,Uncued Composite,Cued Face,Cued Place,Uncued Face,Uncued Place,Memory Image,Category,Cued Side,Cued Category,Attention Response Time (s),Familiarity Reaction Time (s),Familiarity Rating,Attention Level,Cue Validity,Post Invalid Cue,Pre Invalid Cue,Attention Button,Rating History,Stimulus Onset,Stimulus End,Attention Probe
0,56,Presentation,0,00149931230fa_sunaauglwmctnkxyird.jpg,00125931230fa_sunaalltyvjhbzhkmvg.jpg,,,,,,,<,Face,,,,,1,,,,,,,o
1,56,Presentation,0,00796941205fa_sunaguchqqnrtodtezq.jpg,00562941031fa_sunacjnahdmqfnjfwqx.jpg,,,,,,,>,Place,,,,,1,,,,,,,x
2,56,Presentation,0,00124931230fa_sunaalhlvzmjmitybdn.jpg,00749941201fa_sunaeuvjbmdpknaqqaj.jpg,,,,,,,<,Face,,,,,1,,,,,,,o
3,56,Presentation,0,00744941201fa_sunaeomlfaabhpswasy.jpg,00825940307fa_sunahrltmuwbiehihpe.jpg,,,,,,,<,Place,,,,,1,,,,,,,o
4,56,Presentation,0,00650941031fa_sunadikxpvqeabxrvvc.jpg,00982960627fa_sunbesrwkdsffeogeqq.jpg,,,,,,,<,Face,,,,,1,,,,,,,x
5,56,Presentation,0,00705941205fa_sunadtlxenqqxsyjvix.jpg,00976960627fa_sunbbhqyyzmsxhsbjmp.jpg,,,,,,,>,Face,,,,,1,,,,,,,x
6,56,Presentation,0,00953960627fa_sunatstrpjxhvtbaczf.jpg,00211940128fa_sunabasphceswhwwqvv.jpg,,,,,,,<,Place,,,,,1,,,,,,,x
7,56,Presentation,0,00936960627fa_sunaqgjuuwvdcyiccjt.jpg,00132931230fb_sunaanjcbzdvtvblsdy.jpg,,,,,,,>,Place,,,,,1,,,,,,,o
8,56,Presentation,0,00906960530fa_sunantryfbloeaomfta.jpg,00162931230fb_sunaavjinpnkappuonm.jpg,,,,,,,>,Face,,,,,0,,,,,,,x
9,56,Presentation,0,00209940128fb_sunabaergayifsgacxt.jpg,00885960530fa_sunakwlvxjpddialozd.jpg,,,,,,,>,Place,,,,,1,,,,,,,x
10,56,Memory,0,,,,,,,00796941205fa.jpg,,,,,,,,,,,,,,,
11,56,Memory,0,,,,,,,sunaeuvjbmdpknaqqaj.jpg,,,,,,,,,,,,,,,
12,56,Memory,0,,,,,,,sunahrltmuwbiehihpe.jpg,,,,,,,,,,,,,,,
13,56,Memory,0,,,,,,,sunadikxpvqeabxrvvc.jpg,,,,,,,,,,,,,,,
14,56,Memory,0,,,,,,,00990960627fa.jpg,,,,,,,,,,,,,,,
15,56,Memory,0,,,,,,,sunbesrwkdsffeogeqq.jpg,,,,,,,,,,,,,,,
16,56,Memory,0,,,,,,,00906960530fa.jpg,,,,,,,,,,,,,,,
17,56,Memory,0,,,,,,,00720960620fa.jpg,,,,,,,,,,,,,,,
18,56,Memory,0,,,,,,,00262940128fa.jpg,,,,,,,,,,,,,,,
19,56,Memory,0,,,,,,,00705941205fa.jpg,,,,,,,,,,,,,,,
20,56,Memory,0,,,,,,,sunacuatpqpqhyjhjqk.jpg,,,,,,,,,,,,,,,
21,56,Memory,0,,,,,,,00797960620fa.jpg,,,,,,,,,,,,,,,
22,56,Memory,0,,,,,,,sunaazezcsunmhttzxz.jpg,,,,,,,,,,,,,,,
23,56,Memory,0,,,,,,,00728941205fa.jpg,,,,,,,,,,,,,,,
24,56,Memory,0,,,,,,,00976960627fa.jpg,,,,,,,,,,,,,,,
25,56,Memory,0,,,,,,,sunaanjcbzdvtvblsdy.jpg,,,,,,,,,,,,,,,
26,56,Memory,0,,,,,,,sunbpflsdaxnddnwcqi.jpg,,,,,,,,,,,,,,,
27,56,Memory,0,,,,,,,00146960620fb.jpg,,,,,,,,,,,,,,,
28,56,Memory,0,,,,,,,sunaecpkgfewqqreqwe.jpg,,,,,,,,,,,,,,,
29,56,Memory,0,,,,,,,sunagufzbeteqdjxais.jpg,,,,,,,,,,,,,,,
30,56,Memory,0,,,,,,,00825940307fa.jpg,,,,,,,,,,,,,,,
31,56,Memory,0,,,,,,,sunadtlxenqqxsyjvix.jpg,,,,,,,,,,,,,,,
32,56,Memory,0,,,,,,,00198940128fb.jpg,,,,,,,,,,,,,,,
33,56,Memory,0,,,,,,,00132931230fb.jpg,,,,,,,,,,,,,,,
34,56,Memory,0,,,,,,,sunantryfbloeaomfta.jpg,,,,,,,,,,,,,,,
35,56,Memory,0,,,,,,,00154931230fa.jpg,,,,,,,,,,,,,,,
36,56,Memory,0,,,,,,,sunaejnvnpltdmhbcsi.jpg,,,,,,,,,,,,,,,
37,56,Memory,0,,,,,,,00792941205fa.jpg,,,,,,,,,,,,,,,
38,56,Memory,0,,,,,,,sunaqgjuuwvdcyiccjt.jpg,,,,,,,,,,,,,,,
39,56,Memory,0,,,,,,,sunaatpeezlljqaxlhj.jpg,,,,,,,,,,,,,,,
40,56,Memory,0,,,,,,,00571940928fa.jpg,,,,,,,,,,,,,,,
41,56,Memory,0,,,,,,,sunabizydfotqddlnjp.jpg,,,,,,,,,,,,,,,
42,56,Memory,0,,,,,,,sunaauueuhhvklldjik.jpg,,,,,,,,,,,,,,,
43,56,Memory,0,,,,,,,00982960627fa.jpg,,,,,,,,,,,,,,,
44,56,Memory,0,,,,,,,sunagsiwrmuixqgdimb.jpg,,,,,,,,,,,,,,,
45,56,Memory,0,,,,,,,sunaguchqqnrtodtezq.jpg,,,,,,,,,,,,,,,
46,56,Memory,0,,,,,,,00936960627fa.jpg,,,,,,,,,,,,,,,
47,56,Memory,0,,,,,,,00650941031fa.jpg,,,,,,,,,,,,,,,
48,56,Memory,0,,,,,,,sunbbhqyyzmsxhsbjmp.jpg,,,,,,,,,,,,,,,
49,56,Memory,0,,,,,,,00749941201fa.jpg,,,,,,,,,,,,,,,
50,56,Presentation,1,00070940307fa_sunaaeplwsfslcbtojr.jpg,00694941121fa_sunadrmfzmstgdjdcod.jpg,,,,,,,<,Place,,,,,1,,,,,,,o
51,56,Presentation,1,00788941205fa_sunagountlxpzkytsmp.jpg,00882960530fa_sunaknlirqjqiwbbeeg.jpg,,,,,,,>,Face,,,,,1,,,,,,,x
52,56,Presentation,1,00818940307fa_sunahpblecxtmuzkmxb.jpg,00648941031fa_sunadfndyrtqqiasoig.jpg,,,,,,,<,Face,,,,,0,,,,,,,o
53,56,Presentation,1,00933960627fa_sunapwjkcxdaeqehfql.jpg,00670941121fa_sunadochqcucscehsgk.jpg,,,,,,,<,Place,,,,,1,,,,,,,o
54,56,Presentation,1,00869940307fa_sunajoveqhiprwqgoco.jpg,00828940307fa_sunahuynahneraqftyz.jpg,,,,,,,>,Place,,,,,1,,,,,,,o
55,56,Presentation,1,00900960530fa_sunamlotskmmsjeogby.jpg,00630940928fa_sunaczwgyukesaajxnx.jpg,,,,,,,<,Face,,,,,1,,,,,,,o
56,56,Presentation,1,00532960627fa_sunaccdtpgenvcbcbcf.jpg,00127931230fa_sunaampvucecsfbdafn.jpg,,,,,,,>,Place,,,,,1,,,,,,,x
57,56,Presentation,1,00505960627fa_sunabzuqsrgcsonqlkz.jpg,00922960627fa_sunapqkyghktgtosuuk.jpg,,,,,,,>,Face,,,,,1,,,,,,,o
58,56,Presentation,1,00937960627fa_sunaqsolmfydodnakub.jpg,00761960627fa_sunafgdqbclkwfocdhg.jpg,,,,,,,<,Place,,,,,1,,,,,,,x
59,56,Presentation,1,00780960530fa_sunagetqixeypsysbpn.jpg,00498960627fa_sunabzjxlmkwnwzimua.jpg,,,,,,,>,Face,,,,,1,,,,,,,x
60,56,Memory,1,,,,,,,00070940307fa.jpg,,,,,,,,,,,,,,,
61,56,Memory,1,,,,,,,sunadochqcucscehsgk.jpg,,,,,,,,,,,,,,,
62,56,Memory,1,,,,,,,sunahuynahneraqftyz.jpg,,,,,,,,,,,,,,,
63,56,Memory,1,,,,,,,sunaeutbrtswvsozxyk.jpg,,,,,,,,,,,,,,,
64,56,Memory,1,,,,,,,sunagetqixeypsysbpn.jpg,,,,,,,,,,,,,,,
65,56,Memory,1,,,,,,,00922960627fa.jpg,,,,,,,,,,,,,,,
66,56,Memory,1,,,,,,,00129931230fb.jpg,,,,,,,,,,,,,,,
67,56,Memory,1,,,,,,,sunamlotskmmsjeogby.jpg,,,,,,,,,,,,,,,
68,56,Memory,1,,,,,,,sunahiphsekjihkafsl.jpg,,,,,,,,,,,,,,,
69,56,Memory,1,,,,,,,00498960627fa.jpg,,,,,,,,,,,,,,,
