,Subject,Trial Type,Run,Cued Composite,Uncued Composite,Cued Face,Cued Place,Uncued Face,Uncued Place,Memory Image,Category,Cued Side,Cued Category,Attention Response Time (s),Familiarity Reaction Time (s),Familiarity Rating,Attention Level,Cue Validity,Post Invalid Cue,Pre Invalid Cue,Attention Button,Rating History,Stimulus Onset,Stimulus End,Attention Probe
150,56,Presentation,3,00819940307fa_sunahqldjibofgsfdgb.jpg,00564941031fa_sunacsaovnjezqwbykf.jpg,,,,,,,>,Face,18.449320077896118,,,,1.0,,,3,,,,o
151,56,Presentation,3,00529940519fa_sunacbeefkxpymwevpk.jpg,00754941201fa_sunaffgsyyvoqdlkmnk.jpg,,,,,,,<,Place,25.753201961517334,,,,1.0,,,1,,,,o
152,56,Presentation,3,00804960530fa_sunagwswhkvnsmuszlz.jpg,00799941205fa_sunagutjvdvnhxejerz.jpg,,,,,,,>,Place,33.12113308906555,,,,1.0,,,3,,,,x
153,56,Presentation,3,00968960627fa_sunbagfpovqwbuexqdn.jpg,00163931230fb_sunaavodbcpygkggnfp.jpg,,,,,,,<,Face,41.177308082580566,,,,1.0,,,1,,,,o
154,56,Presentation,3,00999960627fa_sunbvbrvgbpanfrawft.jpg,00235940128fb_sunabclssnoeuigtawp.jpg,,,,,,,<,Place,48.68914604187012,,,,1.0,,,3,,,,o
155,56,Presentation,3,00771941205fa_sunafowswglhxcsufpo.jpg,00809960620fa_sunahbvlpavurqoxdeq.jpg,,,,,,,>,Face,56.16115713119507,,,,1.0,,,1,,,,x
156,56,Presentation,3,00803941205fa_sunagvxkjokqimstxpe.jpg,00191940128fb_sunaawsdjisukbbginm.jpg,,,,,,,<,Face,63.38516306877136,,,,1.0,,,1,,,,x
157,56,Presentation,3,00812941205fa_sunahgtbwgsmtqeodwh.jpg,00620940928fa_sunacypmnujalygkunp.jpg,,,,,,,>,Face,71.0334689617157,,,,1.0,,,1,,,,x
158,56,Presentation,3,00911960530fa_sunaooaqzputrowwbsw.jpg,00076931230fa_sunaafewhewbxmjiurz.jpg,,,,,,,>,Place,78.52099108695984,,,,1.0,,,1,,,,x
159,56,Presentation,3,00979960627fa_sunbdycacjfaujxitbw.jpg,00681941121fa_sunadqmjrhfjyuzyvdd.jpg,,,,,,,<,Place,85.89718699455261,,,,1.0,,,1,,,,x
