,Subject,Trial Type,Run,Cued Composite,Uncued Composite,Cued Face,Cued Place,Uncued Face,Uncued Place,Memory Image,Category,Cued Side,Cued Category,Attention Response Time (s),Familiarity Reaction Time (s),Familiarity Rating,Attention Level,Cue Validity,Post Invalid Cue,Pre Invalid Cue,Attention Button,Rating History,Stimulus Onset,Stimulus End,Attention Probe
250,9,Presentation,5,00898960530fa_sunamkmeblgteyggink.jpg,01004960627fa_sunbwtlihsuptkrckid.jpg,,,,,,,<,Face,71.28851699829102,,,,1.0,,,1,,,,o
251,9,Presentation,5,00885960530fa_sunakwlvxjpddialozd.jpg,00786941205fa_sunagmhildamktmqjss.jpg,,,,,,,<,Place,78.35241913795471,,,,1.0,,,1,,,,x
252,9,Presentation,5,00937960627fa_sunaqsolmfydodnakub.jpg,01002960627fb_sunbwaafjdebjzttuvq.jpg,,,,,,,>,Place,85.30433011054993,,,,1.0,,,3,,,,o
253,9,Presentation,5,00950960627fa_sunasrjlmglmjzbmqxb.jpg,00081941031fa_sunaaftlyfudyzuhqzf.jpg,,,,,,,>,Face,92.35244703292847,,,,0.0,,,1,,,,x
254,9,Presentation,5,00901960530fa_sunammbnoambmhdxdwd.jpg,00987960627fa_sunbloeoiozwjjsiamp.jpg,,,,,,,<,Face,99.43240308761597,,,,1.0,,,1,,,,o
255,9,Presentation,5,00095931230fa_sunaahzooisqkwlxwoz.jpg,00816941205fa_sunahmhrncocyhsjpxk.jpg,,,,,,,>,Place,106.59239411354065,,,,1.0,,,3,,,,x
256,9,Presentation,5,00663941121fa_sunadnjjzohjhbohlwq.jpg,00943960627fa_sunarpsxqkduedrrzyi.jpg,,,,,,,<,Place,113.60024404525757,,,,1.0,,,1,,,,x
257,9,Presentation,5,00889960530fa_sunaletopenvvozhpxc.jpg,00576941031fa_sunacvjlsylseoghjup.jpg,,,,,,,<,Face,120.6401641368866,,,,1.0,,,1,,,,o
258,9,Presentation,5,00839940307fa_sunaipyohrqlwngaqif.jpg,00938960627fa_sunaqyylsngywqzwfmx.jpg,,,,,,,>,Face,127.65632510185242,,,,1.0,,,3,,,,o
259,9,Presentation,5,00882960530fa_sunaknlirqjqiwbbeeg.jpg,00922960627fa_sunapqkyghktgtosuuk.jpg,,,,,,,>,Place,134.67214608192444,,,,1.0,,,3,,,,x
